0285000,0725.39,502547,01,35489,62664,+0.0061,+10.9246,+1801.0178,0.0100,316.2180
0290000,0737.50,502854,02,35858,62944,+0.0081,+11.0524,+1372.7635,0.0100,316.4111
0295000,0749.59,503353,01,35839,62712,+0.0508,+10.9452,+0215.3087,0.0100,316.7251
0300000,0761.42,503236,02,35639,62771,+0.0225,+10.4963,+0465.7556,0.0100,316.6515
0305000,0773.62,503406,01,35553,62883,+0.0271,+10.9051,+0401.9445,0.0100,316.7585
0310000,0785.71,503323,04,35380,62814,-0.0139,+10.7786,-0775.8257,0.0100,316.7062
0315000,0797.61,503159,02,35670,62753,-0.1156,+11.0848,-0095.8704,0.0100,316.6030
0320000,0809.38,502632,02,35520,62646,-0.1084,+10.8706,-0100.2766,0.0100,316.2714
0325000,0821.46,502627,02,35778,62866,+0.0611,+10.9974,+0179.9523,0.0100,316.2683
0330000,0833.60,502758,00,35585,62865,-0.1212,+10.8056,-0089.1735,0.0100,316.3507
0335000,0845.85,503825,03,35989,63140,+0.0831,+11.0791,+0133.3982,0.0100,317.0221
0340000,0857.90,503410,01,35710,62997,-0.1383,+10.8890,-0078.7559,0.0100,316.7610
0345000,0869.98,503199,01,35970,62916,-0.0338,+10.9827,-0325.0613,0.0100,316.6282
0350000,0881.88,503018,02,35480,62749,-0.1348,+10.7819,-0080.0097,0.0100,316.5143
0355000,0893.97,503409,03,35801,62922,-0.0126,+10.9669,-0873.7845,0.0100,316.7604
0360000,0905.96,503015,01,35746,62922,-0.0482,+10.8544,-0225.2070,0.0100,316.5124
0365000,0918.08,503039,02,35349,62810,+0.0318,+10.9852,+0345.2765,0.0100,316.5275
0370000,0930.22,502630,03,35368,62779,-0.0476,+10.9527,-0230.0455,0.0100,316.2702
0375000,0942.40,502447,02,35680,62950,-0.0349,+11.1195,-0318.5403,0.0100,316.1550
0380000,0954.61,502511,02,35715,62898,-0.0161,+10.9635,-0682.0852,0.0100,316.1953
0385000,0966.77,502610,00,35556,62724,-0.0265,+10.9255,-0412.3490,0.0100,316.2576
0390000,0978.69,502229,02,35442,62758,+0.0363,+10.6272,+0293.1045,0.0100,316.0179
0395000,0990.83,503207,01,35655,63009,+0.0322,+11.0678,+0343.9802,0.0100,316.6333
0400000,1002.91,503557,03,36006,63092,-0.1485,+11.0731,-0074.5626,0.0100,316.8535
0405000,1014.91,503110,02,35387,63015,+0.0465,+11.1642,+0240.0768,0.0100,316.5722
0410000,1026.93,503225,03,35661,63166,-0.0101,+10.7496,-1064.2335,0.0100,316.6446
0415000,1039.31,503035,02,35802,63051,+0.2024,+11.0739,+0054.7035,0.0100,316.5250
0420000,1051.39,503378,01,35591,63018,-0.1601,+10.7918,-0067.4158,0.0100,316.7409
0425000,1063.67,503108,04,35591,62791,+0.0123,+10.7973,+0877.0501,0.0100,316.5710
0430000,1075.71,503441,03,35637,62934,+0.0609,+10.6600,+0174.9246,0.0100,316.7805
0435000,1088.00,503354,01,35594,62950,+0.1235,+10.9907,+0088.9739,0.0100,316.7257
0440000,1100.21,503393,04,35749,62930,-0.1058,+10.9493,-0103.4988,0.0100,316.7503
0445000,1112.45,503021,02,35723,62948,+0.0109,+10.8339,+0996.8666,0.0100,316.5162
0450000,1124.54,503705,00,35736,63108,-0.0706,+10.8298,-0153.4415,0.0100,316.9466
0455000,1136.68,503632,01,35697,63047,-0.1102,+10.8736,-0098.6901,0.0100,316.9007
0460000,1148.69,503627,01,35545,62935,+0.0236,+10.7421,+0454.5884,0.0100,316.8975
0465000,1160.86,503241,02,35665,62915,-0.0810,+10.9308,-0135.0204,0.0100,316.6546
0470000,1173.01,503018,00,35539,62720,-0.0434,+10.9847,-0252.8225,0.0100,316.5143
0475000,1185.01,502045,02,35440,62554,+0.0217,+10.9114,+0501.8660,0.0100,315.9021
0480000,1197.01,502112,02,35584,62661,+0.1044,+10.8870,+0104.2793,0.0100,315.9442
0485000,1209.34,502382,02,35422,62631,+0.0473,+10.7435,+0226.9293,0.0100,316.1141
0490000,1221.49,502522,02,35516,62903,-0.0654,+11.0908,-0169.4911,0.0100,316.2022
0495000,1233.59,502442,01,35510,62663,+0.1564,+10.7019,+0068.4211,0.0100,316.1519
0500000,1245.75,502529,01,35471,62749,+0.0189,+10.9749,+0580.7884,0.0100,316.2066
0505000,1257.91,502754,02,35662,62829,-0.0693,+10.8054,-0156.0206,0.0100,316.3482
0510000,1270.06,502521,01,35523,62681,+0.0518,+10.7967,+0208.6116,0.0100,316.2016
0515000,1282.20,502570,01,35452,62813,+0.0249,+10.7156,+0431.0745,0.0100,316.2324
0520000,1294.31,502845,03,35570,62805,-0.0690,+10.9790,-0159.0741,0.0100,316.4055
0525000,1306.43,503734,02,35809,63121,-0.1435,+10.9620,-0076.4159,0.0100,316.9649
0530000,1318.74,503570,01,35791,63065,+0.1298,+11.1428,+0085.8154,0.0100,316.8617
0535000,1330.77,503047,00,35792,63188,-0.0559,+11.1822,-0200.1670,0.0100,316.5326
0540000,1342.99,503435,04,35780,63132,+0.0179,+10.9373,+0610.0389,0.0100,316.7767
