"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.945,0.029
"40_Ar region 1",0.024,0.0005
"N_2 region 1",0.028,0.0009
"O_2 region 1",1.48E-03,5.00E-05
"CO region 1",9.48E-04,7.00E-05
