"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.956,0.03
"40_Ar region 1",0.02,0.0006
"N_2 region 1",0.021,0.0004
"O_2 region 1",2.10E-03,1.00E-04
"CO region 1",1.10E-03,7.70E-05
