0000000,0000.39,150000,00,00000,00000,+0.0000,+0.0000,+0000.0000,0.1000,4.8553,
0005000,0003.94,166721,02,13852,22678,-0.0007,+0.0572,-0087.7261,0.0899,5.3965,
0010000,0006.66,153470,02,11078,18470,-0.0004,+0.0865,-0219.6402,0.0977,4.9676,
0015000,0009.12,147231,05,10237,17018,-0.0012,+0.0900,-0072.3132,0.1019,4.7656,
0020000,0011.52,145223,03,10004,16593,-0.0010,+0.0902,-0094.5284,0.1033,4.7006,
0025000,0013.93,143910,01,09892,16378,-0.0016,+0.0902,-0055.5524,0.1042,4.6581,
0030000,0016.28,143170,01,09591,16166,-0.0011,+0.0883,-0079.7755,0.1047,4.6342,
0035000,0018.65,142616,02,09601,16075,-0.0003,+0.0896,-0336.0683,0.1052,4.6163,
0040000,0021.05,142082,00,09627,15977,+0.0005,+0.0887,+0195.9357,0.1055,4.5990,
0045000,0023.42,142325,01,09608,16053,-0.0015,+0.0919,-0062.6686,0.1054,4.6068,
0050000,0025.78,141915,01,09502,16005,+0.0011,+0.0896,+0080.4350,0.1057,4.5936,
0055000,0028.20,142075,03,09565,16003,+0.0019,+0.0905,+0046.6131,0.1056,4.5987,
0060000,0030.57,141947,03,09533,15991,+0.0022,+0.0893,+0041.2788,0.1056,4.5946,
0065000,0032.95,141833,00,09505,15980,+0.0006,+0.0896,+0160.1457,0.1057,4.5909,
0070000,0035.33,141696,01,09503,15916,+0.0018,+0.0889,+0050.5181,0.1058,4.5865,
0075000,0037.73,141782,00,09441,15963,-0.0011,+0.0895,-0085.0815,0.1058,4.5893,
0080000,0040.13,141890,01,09556,16012,+0.0009,+0.0896,+0096.8207,0.1057,4.5928,
0085000,0042.52,141930,02,09446,15998,+0.0021,+0.0915,+0043.4077,0.1057,4.5941,
0090000,0044.91,141972,03,09459,15996,-0.0005,+0.0916,-0191.2460,0.1056,4.5954,
0095000,0047.31,142192,02,09605,16088,+0.0003,+0.0899,+0277.8697,0.1055,4.6025,
0100000,0049.73,141938,02,09491,15978,+0.0002,+0.0903,+0574.3453,0.1057,4.5943,
0105000,0052.15,141700,03,09495,15964,-0.0001,+0.0903,-1108.8007,0.1058,4.5866,
0110000,0054.51,141627,02,09491,15957,-0.0013,+0.0904,-0067.1339,0.1059,4.5842,
0115000,0056.89,141688,00,09436,15926,-0.0004,+0.0894,-0239.6002,0.1058,4.5862,
0120000,0059.26,141868,00,09480,16016,+0.0001,+0.0898,+1442.1106,0.1057,4.5920,
0125000,0061.65,141882,03,09457,15976,-0.0023,+0.0910,-0039.2600,0.1057,4.5925,
0130000,0064.05,141693,01,09445,15970,-0.0019,+0.0906,-0047.5854,0.1058,4.5864,
0135000,0066.46,142077,03,09668,16055,+0.0013,+0.0915,+0070.4020,0.1056,4.5988,
0140000,0068.85,142095,01,09519,16065,+0.0008,+0.0907,+0118.1631,0.1055,4.5994,
0145000,0071.25,141885,03,09489,16042,+0.0017,+0.0920,+0055.3249,0.1057,4.5926,
0150000,0073.63,142147,04,09561,16099,-0.0001,+0.0933,-1157.9494,0.1055,4.6011,
0155000,0076.01,142221,00,09631,16099,+0.0015,+0.0885,+0057.5270,0.1054,4.6035,
0160000,0078.40,141751,03,09425,15954,+0.0000,+0.0912,+1842.6257,0.1058,4.5883,
0165000,0080.78,142237,02,09506,16136,+0.0031,+0.0906,+0029.1872,0.1054,4.6040,
0170000,0083.16,141861,01,09616,16031,+0.0018,+0.0910,+0051.4321,0.1057,4.5918,
0175000,0085.54,141787,01,09597,16017,+0.0009,+0.0904,+0104.4810,0.1058,4.5894,
0180000,0087.93,142121,00,09610,16071,+0.0006,+0.0895,+0142.3065,0.1055,4.6002,
0185000,0090.31,141890,02,09494,15982,-0.0004,+0.0912,-0216.3842,0.1057,4.5928,
0190000,0092.69,141638,01,09444,15992,-0.0002,+0.0903,-0454.7020,0.1059,4.5846,
0195000,0095.08,142201,02,09576,16139,+0.0012,+0.0909,+0076.9530,0.1055,4.6028,
0200000,0097.47,141777,00,09484,16026,-0.0004,+0.0898,-0218.7774,0.1058,4.5891,
0205000,0099.85,141741,02,09465,15995,+0.0005,+0.0924,+0184.8556,0.1058,4.5879,
0210000,0102.24,141983,04,09452,16044,+0.0004,+0.0913,+0250.6512,0.1056,4.5958,
0215000,0104.62,141617,02,09527,15997,+0.0001,+0.0903,+0909.9658,0.1059,4.5839,
0220000,0107.02,142024,02,09701,16055,+0.0010,+0.0905,+0089.3663,0.1056,4.5971,
0225000,0109.41,141945,03,09529,16061,-0.0018,+0.0897,-0050.3943,0.1056,4.5945,
0230000,0111.79,142317,03,09622,16121,+0.0008,+0.0917,+0113.8187,0.1054,4.6066,
0235000,0114.21,142336,01,09586,16160,+0.0007,+0.0890,+0121.8856,0.1054,4.6072,
