"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.951,0.03
"40_Ar region 1",0.0202,0.0193
"N_2 region 1",0.0259,0.0257
"O_2 region 1",1.28E-03,1.07E-03
"CO region 1",1.37E-03,1.64E-03
