"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.946,0.028
"40_Ar region 1",0.023,0.0005
"N_2 region 1",0.028,0.0009
"O_2 region 1",1.07E-04,5.00E-05
"CO region 1",1.17E-03,7.00E-05
