"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.952,0.031
"40_Ar region 1",0.019,0.0004
"N_2 region 1",0.025,0.00087
"O_2 region 1",1.82E-03,1.24E-04
"CO region 1",1.82E-03,1.24E-04
