"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.947,0.029
"40_Ar region 1",0.024,0.0005
"N_2 region 1",0.027,0.0009
"O_2 region 1",1.36E-03,6.00E-05
"CO region 1",1.08E-03,7.00E-05
