"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.953,0.032
"40_Ar region 1",0.0191,0.0004
"N_2 region 1",0.0252,0.0009
"O_2 region 1",1.07E-03,2.69E-04
"CO region 1",1.55E-03,1.12E-04
