"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.946,0.03
"40_Ar region 1",0.023,0.0005
"N_2 region 1",0.028,0.001
"O_2 region 1",1.51E-03,1.70E-04
"CO region 1",1.60E-03,1.00E-04
