"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.956,0.032
"40_Ar region 1",0.021,0.0005
"N_2 region 1",0.02,0.0007
"O_2 region 1",1.80E-03,1.00E-04
"CO region 1",5.90E-04,1.00E-04
"CO2 region 2",0.957,0.032
"40_Ar region 2",0.021,0.0005
"N_2 region 2",0.021,0.0007
"O_2 region 2",1.90E-03,1.00E-04
"CO region 2",6.20E-04,1.00E-04
