"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.947,0.03
"40_Ar region 1",0.0189,0.000407
"N_2 region 1",0.03,0.00101
"O_2 region 1",1.76E-03,9.60E-05
"CO region 1",2.65E-03,1.61E-04
