 VL1  2 294.402 1013  9  6  4  201.98
 VL1  2 294.428 1013 10  7 42  205.48
 VL1  2 294.454 1013 11  9 21  213.14
 VL1  2 294.480 1013 12 10 59  221.91
 VL1  2 294.506 1013 13 12 38  229.77
 VL1  2 294.532 1013 14 14 16  235.88
 VL1  2 294.558 1013 15 15 55  237.99
 VL1  2 294.584 1013 16 17 33  235.20
 VL1  2 294.609 1013 17 19 12  231.25
 VL1  2 294.635 1013 18 20 50  227.25
 VL1  2 294.661 1013 19 22 29  224.51
 VL1  2 294.687 1013 20 24  8  220.54
 VL1  2 294.713 1013 21 25 47  217.68
 VL1  2 294.713 1013 21 26  6  216.57
 VL1  2 294.739 1013 22 27 25  214.74
 VL1  2 294.765 1013 23 29  4  211.70
 VL1  2 294.791 1013 24 30 42  209.77
 VL1  2 294.817 1014  0 52 45  207.85
 VL1  2 294.842 1014  1 54 24  206.95
 VL1  2 294.868 1014  2 56  2  205.03
 VL1  2 294.894 1014  3 57 41  204.13
 VL1  2 294.920 1014  4 59 19  202.10
 VL1  2 294.946 1014  6  0 58  201.21
 VL1  2 294.972 1014  7  2 36  200.32
 VL1  2 294.998 1014  8  4 15  199.43
 VL1  2 295.024 1014  9  5 53  199.30
 VL1  2 295.049 1014 10  7 32  201.74
 VL1  2 295.075 1014 11  9 11  208.33
 VL1  2 295.101 1014 12 10 50  215.94
 VL1  2 295.127 1014 13 12 28  223.81
 VL1  2 295.153 1014 14 14  7  230.86
 VL1  2 295.179 1014 15 15 45  234.00
 VL1  2 295.205 1014 16 17 24  231.18
 VL1  2 295.231 1014 17 19  2  228.27
 VL1  2 295.256 1014 18 20 41  225.37
 VL1  2 295.282 1014 19 22 19  221.47
 VL1  2 295.308 1014 20 23 58  218.60
 VL1  2 295.334 1014 21 25 36  215.65
 VL1  2 295.360 1014 22 27 15  212.71
 VL1  2 295.386 1014 23 28 53  210.79
 VL1  2 295.412 1014 24 30 32  208.86
 VL1  2 295.437 1015  0 52 35  206.83
 VL1  2 295.463 1015  1 54 14  205.93
 VL1  2 295.489 1015  2 55 52  203.90
 VL1  2 295.515 1015  3 57 31  203.00
 VL1  2 295.541 1015  4 59 10  202.10
 VL1  2 295.567 1015  6  0 48  201.08
 VL1  2 295.592 1015  7  2 27  200.19
 VL1  2 295.618 1015  8  4  5  200.32
 VL1  2 295.644 1015  9  5 44  201.08
 VL1  2 295.670 1015 10  7 22  204.46
 VL1  2 295.696 1015 11  9  1  213.14
 VL1  2 295.722 1015 12 10 39  221.84
 VL1  2 295.747 1015 13 12 18  230.80
 VL1  2 295.773 1015 14 13 56  237.94
 VL1  2 295.799 1015 15 15 35  240.00
 VL1  2 295.825 1015 16 17 13  237.13
 VL1  2 295.851 1015 17 18 52  234.25
 VL1  2 295.877 1015 18 20 30  230.30
 VL1  2 295.902 1015 19 22  9  226.38
 VL1  2 295.928 1015 20 23 48  222.57
 VL1  2 295.954 1015 21 25 27  218.51
 VL1  2 295.980 1015 22 27  5  215.56
 VL1  2 296.006 1015 23 28 44  213.73
 VL1  2 296.031 1015 24 30 22  211.70
 VL1  2 296.057 1016  0 52 25  209.77
 VL1  2 296.083 1016  1 54  4  207.74
 VL1  2 296.109 1016  2 55 43  206.83
 VL1  2 296.135 1016  3 57 21  204.80
 VL1  2 296.161 1016  4 59  0  204.02
 VL1  2 296.186 1016  6  0 38  201.98
 VL1  2 296.212 1016  7  2 17  201.21
 VL1  2 296.238 1016  8  3 55  199.17
 VL1  2 296.264 1016  9  5 34  199.05
 VL1  2 296.289 1016 10  7 12  201.62
 VL1  2 296.315 1016 11  8 51  208.23
 VL1  2 296.346 1016 12 21  0  217.90
 VL1  2 296.346 1016 12 22 37  217.90
 VL1  2 296.371 1016 13 23  0  226.89
 VL1  2 296.393 1016 14 13 47  230.86
 VL1  2 296.418 1016 15 15 25  233.94
 VL1  2 296.444 1016 16 17  4  232.14
 VL1  2 296.470 1016 17 18 42  229.21
 VL1  2 296.496 1016 18 20 21  226.31
 VL1  2 296.522 1016 19 21 59  223.99
 VL1  2 296.547 1016 20 23 38  219.62
 VL1  2 296.573 1016 21 25 16  215.56
 VL1  2 296.599 1016 22 26 55  213.73
 VL1  2 296.625 1016 23 28 33  211.80
 VL1  2 296.651 1016 24 30 12  209.77
 VL1  2 296.676 1017  0 52 15  207.74
 VL1  2 296.702 1017  1 53 54  206.83
 VL1  2 296.728 1017  2 55 32  205.93
 VL1  2 296.754 1017  3 57 11  203.90
 VL1  2 296.780 1017  5  0 30  204.13
 VL1  2 296.806 1017  6  2  8  203.24
 VL1  2 296.832 1017  7  3 47  201.08
 VL1  2 296.883 1017  9  7  4  201.21
 VL1  2 296.909 1017 10  8 42  202.64
 VL1  2 296.935 1017 11 10 21  209.15
 VL1  2 296.961 1017 12 11 59  217.90
 VL1  2 296.986 1017 13 13 38  225.79
 VL1  2 297.012 1017 14 15 16  232.85
 VL1  2 297.064 1017 16 18 34  234.18
 VL1  2 297.089 1017 17 20 13  231.25
 VL1  2 297.115 1017 18 21 51  227.32
 VL1  2 297.141 1017 19 23 30  224.51
 VL1  2 297.192 1017 21 26 47  217.68
 VL1  2 297.218 1017 22 28 25  214.74
 VL1  2 297.244 1017 23 30  4  212.81
 VL1  2 297.270 1017 24 31 42  210.89
 VL1  2 297.295 1018  0 53 45  208.86
 VL1  2 297.321 1018  1 55 24  206.83
 VL1  2 297.347 1018  2 57  2  205.93
 VL1  2 297.372 1018  3 58 41  204.91
 VL1  2 297.398 1018  5  0 19  204.02
 VL1  2 297.424 1018  6  1 58  204.26
 VL1  2 297.450 1018  7  3 36  202.10
 VL1  2 297.475 1018  8  5 16  202.23
 VL1  2 297.501 1018  9  6 54  201.98
 VL1  2 297.527 1018 10  8 33  204.57
 VL1  2 297.578 1018 12 11 50  218.92
 VL1  2 297.604 1018 13 13 28  226.89
 VL1  2 297.630 1018 14 15  7  231.95
 VL1  2 297.656 1018 15 16 45  235.08
 VL1  2 297.681 1018 16 18 24  232.27
 VL1  2 297.707 1018 17 20  2  228.27
 VL1  2 297.733 1018 18 21 41  225.37
 VL1  2 297.759 1018 19 23 37  221.47
 VL1  2 297.784 1018 20 24 58  217.59
 VL1  2 297.810 1018 21 26 36  214.64
 VL1  2 297.836 1018 22 28 15  212.81
 VL1  2 297.861 1018 23 29 53  210.89
 VL1  2 297.887 1018 24 31 33  207.85
 VL1  2 297.938 1019  1 55 14  204.91
 VL1  2 297.964 1019  2 56 53  204.02
 VL1  2 297.990 1019  3 58 31  203.12
 VL1  2 298.016 1019  5  0 10  202.10
 VL1  2 298.032 1019  5 39 13  201.08
 VL1  2 298.041 1019  6  1 48  201.21
 VL1  2 298.067 1019  7  3 27  200.19
 VL1  2 298.093 1019  8  5  5  199.17
 VL1  2 298.118 1019  9  6 44  200.07
 VL1  2 298.144 1019 10  8 22  204.68
 VL1  2 298.170 1019 11 10  1  212.21
 VL1  2 298.195 1019 12 11 39  220.81
 VL1  2 298.221 1019 13 13 18  229.77
 VL1  2 298.247 1019 14 14 56  236.86
 VL1  2 298.272 1019 15 16 35  239.95
 VL1  2 298.298 1019 16 18 14  237.13
 VL1  2 298.324 1019 17 19 53  233.16
 VL1  2 298.349 1019 18 21 31  230.30
 VL1  2 298.375 1019 19 23 10  226.46
 VL1  2 298.401 1019 20 24 48  221.47
 VL1  2 298.426 1019 21 26 27  218.60
 VL1  2 298.452 1019 22 28  5  215.65
 VL1  2 298.478 1019 23 29 44  213.73
 VL1  2 298.503 1019 24 31 22  210.68
 VL1  2 298.529 1020  0 53 25  209.88
 VL1  2 298.555 1020  1 55  4  207.85
 VL1  2 298.581 1020  2 56 43  205.82
