"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.95213,0.03
"40_Ar region 1",0.01902,0.000414
"N_2 region 1",0.02493,0.000859
"O_2 region 1",1.82E-03,6.80E-05
"CO region 1",9.98E-04,7.50E-05
