"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.952,0.028
"40_Ar region 1",0.02,0.00041
"N_2 region 1",0.025,0.00084
"O_2 region 1",7.79E-04,2.10E-05
"CO region 1",1.82E-03,1.11E-04
