"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.948,0.03
"40_Ar region 1",0.023,0.0005
"N_2 region 1",0.027,0.0009
"O_2 region 1",1.22E-03,5.00E-05
"CO region 1",9.32E-04,7.00E-05
