"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.953,0.03
"40_Ar region 1",0.021,0.0007
"N_2 region 1",0.0226,0.0005
"O_2 region 1",1.90E-03,1.10E-04
"CO region 1",1.00E-03,7.60E-05
