"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.951,0.03
"40_Ar region 1",0.02,0.0004
"N_2 region 1",0.026,0.0009
"O_2 region 1",1.62E-03,9.00E-05
"CO region 1",1.20E-03,8.00E-05
