"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.949,0.03
"40_Ar region 1",0.0194,0.000429
"N_2 region 1",0.0276,0.00094
"O_2 region 1",1.75E-03,4.60E-05
"CO region 1",2.39E-03,1.49E-04
