"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.955,0.031
"40_Ar region 1",0.0187,0.0004
"N_2 region 1",0.0246,0.0007
"O_2 region 1",8.03E-04,9.00E-05
"CO region 1",1.38E-03,1.90E-04
