"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.954,0.033
"40_Ar region 1",0.0194,0.0005
"N_2 region 1",0.0234,0.0009
"O_2 region 1",1.30E-03,7.80E-05
"CO region 1",1.20E-03,8.70E-05
