"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.954,0.03
"40_Ar region 1",0.025,0.00086
"N_2 region 1",0.019,0.0004
"O_2 region 1",1.70E-03,8.00E-05
"CO region 1",9.83E-04,7.00E-05
