"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.946,0.03
"40_Ar region 1",0.0218,0.000479
"N_2 region 1",0.0285,0.000977
"O_2 region 1",1.67E-03,4.60E-05
"CO region 1",1.72E-03,1.13E-04
