"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.956,0.03
"40_Ar region 1",0.0185,0.0004
"N_2 region 1",0.0233,0.0008
"O_2 region 1",1.10E-03,7.20E-05
"CO region 1",1.10E-03,8.00E-05
