"SPECIES","VOLUME MIXING RATIO","UNCERTAINTY"
"CO2 region 1",0.949,0.03
"40_Ar region 1",0.0193,0.000418
"N_2 region 1",0.0281,0.000967
"O_2 region 1",1.53E-03,1.49E-04
"CO region 1",1.73E-03,1.13E-04
